City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
215,Hobyo,SO,76.3,few clouds,5.3505,48.5268,Iftin hotel hobyo
216,Malia,GR,84.81,clear sky,35.2833,25.4667,Kalypso Hotel
217,Sajanan,TN,88.72,clear sky,37.0573,9.2426,Mine de Dhoihria
218,Amethi,IN,85.35,overcast clouds,26.15,81.8167,Taj Hotel
219,Vung Tau,VN,80.38,overcast clouds,10.346,107.0843,Seaside Resort
220,Kyaukse,MM,77.58,overcast clouds,21.6,96.1333,Shwe Thit Sar Guesthouse
221,Ajdabiya,LY,78.96,clear sky,30.7554,20.2263,Almadina Hotel
222,Korba,IN,79.3,light rain,22.35,82.6833,Hotel Deendayal
223,Jodhpur,IN,84.92,overcast clouds,26.2867,73.03,"Umaid Bhawan Palace, Jodhpur"
224,Yumen,CN,76.39,clear sky,40.2833,97.2,
225,Porto Torres,IT,84.38,clear sky,40.835,8.3972,Hotel Elisa
226,Staszow,PL,79.5,broken clouds,50.5631,21.1659,"Hotel Rytwiany ""Pałac"""
227,Ishigaki,JP,82.53,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
228,Arfara,GR,83.95,clear sky,37.15,22.0333,Villa Labrini
229,Garhi Yasin,PK,84.22,overcast clouds,27.9069,68.511,Hashmi Guest House
230,Deer Lake,CA,82.26,broken clouds,49.1667,-57.4316,"Holiday Inn Express Deer Lake, an IHG Hotel"
231,Balkanabat,TM,81.23,clear sky,39.5108,54.3671,Nebitchi Hotel
232,Ganzhou,CN,81.73,broken clouds,28.8184,115.4327,Zhanqian Grand Hotel
233,Kirakira,SB,77.14,broken clouds,-10.4544,161.9205,SanBiz Lodge
234,Cabatuan,PH,76.12,moderate rain,10.8794,122.486,MVC Transient Room
235,Navoi,UZ,87.28,clear sky,40.0844,65.3792,Silk Road Hotel Termez
236,Vaitape,PF,77.9,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
237,Oyama,JP,84.58,broken clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
238,Rawlins,US,87.69,clear sky,41.7911,-107.2387,"Holiday Inn Express Rawlins, an IHG Hotel"
