City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
158,Ahipara,NZ,2022-07-22 16:25:41,-35.1667,173.1667,48.67,87,80,7.2
159,Manokwari,ID,2022-07-22 16:21:24,-0.8667,134.0833,78.85,78,22,7.47
160,Waingapu,ID,2022-07-22 16:25:42,-9.6567,120.2641,71.17,77,100,8.48
161,Kendal,GB,2022-07-22 16:25:42,54.3268,-2.7476,63.84,88,100,3.85
162,Dikson,RU,2022-07-22 16:25:42,73.5069,80.5464,54.54,69,100,11.12
163,Jaslo,PL,2022-07-22 16:23:09,49.7451,21.4725,96.04,31,100,5.19
164,Faanui,PF,2022-07-22 16:25:43,-16.4833,-151.75,77.61,73,12,9.71
165,Hofn,IS,2022-07-22 16:25:43,64.2539,-15.2082,52.3,88,98,4.74
166,Kamaishi,JP,2022-07-22 16:25:44,39.2667,141.8833,72.43,98,100,4.25
167,Bengkulu,ID,2022-07-22 16:22:21,-3.8004,102.2655,76.24,89,90,5.19
168,Harnosand,SE,2022-07-22 16:23:15,62.6323,17.9379,64.99,56,100,6.26
169,Nizhniy Odes,RU,2022-07-22 16:25:44,63.6445,54.856,61.99,41,8,4.47
170,Lachhmangarh,IN,2022-07-22 16:25:45,27.8214,75.0251,83.05,76,100,6.89
171,Gaogou,CN,2022-07-22 16:25:45,34.0175,119.1886,75.09,94,95,5.79
172,San Patricio,US,2022-07-22 16:21:04,28.017,-97.5169,92.16,45,90,12.3
173,At-Bashi,KG,2022-07-22 16:25:45,41.1702,75.8106,68.63,30,0,1.07
174,Vaini,TO,2022-07-22 16:25:46,-21.2,-175.2,73.44,72,100,14.38
175,Villers-La-Ville,BE,2022-07-22 16:25:46,50.5833,4.5333,74.95,37,100,5.08
176,Serpa,PT,2022-07-22 16:25:47,37.9458,-7.5975,102.63,9,38,9.42
177,Termoli,IT,2022-07-22 16:25:47,41.9888,14.9895,93.78,40,0,7.34
178,Soe,ID,2022-07-22 16:25:47,-9.8607,124.284,57.7,84,99,4.05
179,Fortuna,US,2022-07-22 16:26:48,40.5982,-124.1573,59.94,87,81,3.0
180,Barreirinhas,BR,2022-07-22 16:23:01,-2.7469,-42.8264,91.98,44,15,4.25
181,Eureka,US,2022-07-22 16:22:02,40.8021,-124.1637,61.66,89,61,1.99
182,Shimanovsk,RU,2022-07-22 16:26:48,52.0,127.7,62.35,69,22,4.83
183,Husavik,IS,2022-07-22 16:26:49,66.0449,-17.3389,52.07,80,66,6.31
184,Port-Cartier,CA,2022-07-22 16:26:49,50.0334,-66.8654,58.75,97,100,1.34
185,Weyburn,CA,2022-07-22 16:26:50,49.6668,-103.8511,74.91,40,40,2.51
186,Yanzhou,CN,2022-07-22 16:26:50,35.5528,116.8286,75.51,94,100,4.99
187,Fairbanks,US,2022-07-22 16:23:38,64.8378,-147.7164,52.61,90,100,4.63
188,Ileza,RU,2022-07-22 16:26:51,61.0533,43.9002,72.68,71,84,3.78
189,Daru,PG,2022-07-22 16:26:51,-9.0763,143.2092,75.7,92,58,7.67
190,Danville,US,2022-07-22 16:26:51,36.586,-79.395,89.87,32,100,1.12
191,Thompson,CA,2022-07-22 16:23:51,55.7435,-97.8558,52.38,86,100,7.23
192,Rangpur,BD,2022-07-22 16:26:52,25.75,89.25,83.1,82,100,8.32
193,Nizhniy Tsasuchey,RU,2022-07-22 16:26:52,50.5167,115.1333,73.15,59,57,9.51
194,Scarborough,GB,2022-07-22 16:22:13,54.2797,-0.4044,61.93,73,100,3.0
195,Tha Rua,TH,2022-07-22 16:26:53,14.5634,100.7226,82.22,86,96,1.01
196,Bambanglipuro,ID,2022-07-22 16:26:53,-7.95,110.2833,74.95,84,85,5.55
197,Carnarvon,AU,2022-07-22 16:26:53,-24.8667,113.6333,64.74,64,0,17.25
198,Haibara,JP,2022-07-22 16:26:54,34.5333,135.95,74.19,93,85,2.46
199,Yazman,PK,2022-07-22 16:26:54,29.1212,71.7446,87.17,65,100,3.78
200,Santo Tomas,PH,2022-07-22 16:26:55,14.1079,121.1414,81.55,94,43,3.51
201,Tiksi,RU,2022-07-22 16:26:55,71.6872,128.8694,42.71,81,61,6.51
202,Staryy Nadym,RU,2022-07-22 16:26:55,65.6118,72.6842,46.51,93,100,8.32
203,Darhan,MN,2022-07-22 16:26:56,49.4867,105.9228,55.0,89,92,4.0
204,Butaritari,KI,2022-07-22 16:26:56,3.0707,172.7902,81.03,77,33,10.18
205,Saint-Georges,GD,2022-07-22 16:26:57,12.0564,-61.7485,83.59,66,37,16.17
206,Kabin Buri,TH,2022-07-22 16:26:57,13.9511,101.7177,77.27,90,100,3.42
207,Simpang,ID,2022-07-22 16:26:57,-1.2667,104.0833,75.63,90,93,1.01
208,Vila Velha,BR,2022-07-22 16:23:36,-20.3297,-40.2925,78.94,71,2,4.0
209,High Level,CA,2022-07-22 16:25:06,58.5169,-117.136,60.78,67,33,0.34
210,Harper,LR,2022-07-22 16:26:58,4.375,-7.7169,79.68,62,42,8.1
211,Rantepao,ID,2022-07-22 16:26:58,-2.9701,119.8978,67.41,97,77,1.21
